0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:09:12 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:09:17 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:10:08 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:10:40 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:10:45 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:10:54 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:11:08 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:14:13 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:14:31 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:14:59 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:15:34 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:16:21 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:16:30 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:21:44 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:23:05 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:23:31 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:23:35 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:23:45 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:24:41 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:25:13 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [07/Sep/2022:14:11:25 +0900] "GET /study/htmlEx/ch04/ex03.html HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [07/Sep/2022:14:11:30 +0900] "GET /study/htmlEx/ch04/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:14:11:50 +0900] "GET /study/htmlEx/ch04/ex03.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [07/Sep/2022:14:13:22 +0900] "GET /study/htmlEx/ch04/ex03.html HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [07/Sep/2022:14:30:17 +0900] "GET /study/htmlEx/ch04/ex04.html HTTP/1.1" 200 883
